IATA Code,Latitude Decimal Degrees,Longitude Decimal Degrees
TRV,8.482,76.918
COK,10.152,76.393
IXZ,11.646,92.733
BLR,12.95,77.668
MAA,12.994,80.18
HBX,15.357,75.084
GOI,15.381,73.833
VGA,16.53,80.797
HYD,17.452,78.461
VTZ,17.719,83.221
PNQ,18.582,73.919
BOM,19.089,72.868
NDC,19.182,77.319
IXU,19.863,75.398
ISK,19.962,73.807
BBI,20.244,85.818
NAG,21.092,79.047
STV,21.115,72.743
RPR,21.18,81.739
BDQ,22.336,73.226
CCU,22.655,88.447
IDR,22.722,75.801
AMD,23.075,72.632
JLR,23.178,80.052
BHO,23.285,77.337
IXR,23.315,85.321
IXA,23.889,91.241
UDR,24.617,73.913
IMF,24.76,93.897
VNS,25.452,82.859
PAT,25.591,85.088
GAU,26.106,91.586
JDH,26.251,73.043
GWL,26.294,78.228
KNU,26.441,80.363
IXB,26.681,88.328
LKO,26.761,80.886
JAI,26.824,75.81
DEL,28.566,77.103
DED,30.187,78.18
IXC,30.673,76.788
ATQ,31.707,74.799
